hour,day_of_week,is_weekend,is_night,amount,merchant_category,online_order,foreign_transaction,high_risk_country,distance_from_home_km,distance_from_last_txn_km,customer_age,account_age_days,avg_spend_30d,num_txns_last_24h,transaction_velocity,used_chip,used_pin,repeat_retailer,declined_attempts_before,amount_vs_avg_ratio,Class
15,0,1,1,51.5,3,0,0,0,15.84,7.37,49,3661,10.0,4,1.55,1,1,1,1,0.5206,0
18,0,1,1,22.12,8,1,0,0,6.3,2.3,60,4890,61.42,7,0.97,0,1,1,1,1.3324,0
20,5,1,0,86.28,8,0,0,0,13.66,14.42,66,4931,19.73,4,1.2,1,1,1,0,1.0028,0
11,1,1,0,16.24,7,0,0,0,20.09,19.22,63,1792,117.12,3,1.67,0,0,0,1,0.6916,0
4,4,1,0,135.62,9,1,0,0,38.14,5.5,49,3191,36.06,2,2.02,1,1,1,1,1.2624,0
10,2,1,0,12.2,5,0,0,0,14.77,20.15,49,2152,41.21,3,0.94,1,0,1,1,0.4319,0
9,3,1,1,28.07,2,0,0,0,21.37,6.66,30,1325,76.06,0,0.98,0,0,1,0,0.6876,0
8,6,1,0,116.78,6,0,0,0,3.09,6.97,32,2505,24.77,2,1.68,1,0,0,0,1.3278,0
6,4,0,0,9.5,4,0,0,0,44.73,8.67,29,2464,69.03,7,1.44,1,1,0,0,1.2557,0
13,0,1,0,13.37,8,0,0,0,6.86,13.76,70,4243,40.89,0,4.84,0,0,1,0,0.7314,0
12,3,0,0,36.1,5,0,0,0,3.05,17.23,52,3832,27.87,3,2.13,1,1,0,1,1.2442,0
13,2,0,0,166.35,9,0,0,1,15.36,26.5,53,2567,53.92,3,1.72,1,1,1,1,1.143,0
0,1,1,0,31.03,0,0,0,0,4.63,7.54,74,3743,12.83,0,0.96,1,1,1,0,1.0869,0
11,3,1,0,13.74,2,0,0,0,15.0,8.89,18,831,34.44,1,0.32,1,1,1,0,0.8854,0
17,4,1,0,1.92,0,0,0,0,10.92,1.99,20,4976,74.79,7,3.99,1,0,0,0,0.7542,0
2,3,1,0,51.71,3,0,0,0,6.06,4.75,44,2300,29.24,2,2.36,1,1,0,0,0.7645,0
3,6,1,0,183.76,7,0,0,0,46.24,0.36,69,4569,125.32,3,1.18,0,0,0,1,0.834,0
10,0,1,0,14.3,5,0,0,0,22.17,0.52,33,2650,17.68,5,1.08,1,0,1,1,1.2649,0
3,5,1,1,14.54,2,0,0,0,28.57,19.83,27,1398,60.94,2,0.64,0,0,1,0,0.6979,0
3,6,1,1,2.43,5,0,0,0,39.16,13.69,72,480,189.03,2,1.4,1,0,0,0,1.1532,0
6,1,0,0,21.17,7,1,0,0,45.89,0.08,58,43,58.98,6,1.32,1,1,1,0,0.9513,0
15,2,0,0,65.58,2,0,0,0,28.21,1.05,57,1773,100.39,2,1.72,1,0,1,1,1.0011,0
17,0,1,0,11.93,7,0,0,0,16.35,21.13,42,261,60.53,7,1.07,1,1,0,1,0.9581,0
3,6,0,1,85.5,7,0,0,0,23.95,10.43,35,3043,73.91,4,1.03,1,1,0,1,0.7278,0
3,2,0,1,8.7,7,0,0,0,13.14,11.25,43,1947,85.93,2,1.25,1,1,1,0,0.4166,0
2,5,0,0,12.5,1,1,0,0,40.59,2.65,56,3383,47.96,1,2.23,1,1,0,1,0.6032,0
14,3,1,1,79.63,5,0,0,0,8.58,10.77,68,359,21.32,3,2.11,1,0,1,0,1.2397,0
23,1,0,1,2.32,4,0,1,0,9.04,5.98,55,2599,128.68,3,0.5,0,1,1,1,1.1426,0
14,4,1,1,4.73,7,0,0,0,4.88,18.04,31,1096,30.14,1,1.75,1,1,1,1,1.6103,0
17,6,0,0,6.92,4,0,0,0,33.99,0.16,73,1324,16.59,3,2.64,1,1,0,1,1.0633,0
10,2,0,0,10.84,2,0,0,0,29.75,7.44,60,3855,36.45,5,3.47,1,1,0,1,1.3156,0
16,3,0,0,10.29,5,0,1,0,20.72,6.42,58,2704,10.0,1,1.89,1,0,1,0,1.7858,0
1,6,1,0,40.7,0,0,0,0,13.28,1.4,45,4446,70.02,4,2.06,1,0,1,1,0.5671,0
23,1,1,0,236.06,9,0,0,0,19.8,15.45,52,242,75.55,1,1.6,0,0,1,1,0.6219,0
21,5,0,0,119.36,3,0,0,0,10.06,2.09,59,1296,29.23,0,2.02,1,1,1,1,1.3945,0
23,1,1,0,7.87,4,1,0,0,12.27,8.83,31,1657,10.5,2,2.07,0,1,1,1,0.9489,0
23,2,0,0,60.88,4,1,0,0,19.36,0.17,25,2062,99.14,4,2.89,1,0,0,0,0.8536,0
6,0,0,0,21.02,8,1,0,1,3.47,1.04,37,3165,89.27,6,1.57,0,1,1,0,1.2419,0
23,2,1,0,57.6,4,0,0,0,39.31,0.8,44,4050,22.59,5,3.47,1,0,0,1,0.8135,0
17,0,0,0,82.1,2,0,0,0,6.89,2.41,57,3593,166.82,4,2.21,1,0,0,1,0.9312,0
14,1,0,0,56.27,9,0,0,0,4.5,8.28,64,4419,22.81,3,1.9,1,0,0,1,1.7485,0
1,3,0,1,22.08,2,0,0,0,37.26,7.55,41,4805,135.58,2,1.72,1,1,0,0,0.9077,0
8,2,1,0,26.59,0,1,0,0,35.33,25.22,47,2739,58.39,1,3.0,1,0,1,0,1.1239,0
14,4,0,0,7.12,9,0,0,0,7.13,11.27,43,208,23.68,1,0.24,1,1,0,0,1.0514,0
13,4,0,0,56.83,9,0,0,0,11.08,11.85,66,2858,42.95,7,1.36,1,1,1,1,1.2898,0
8,6,0,0,23.91,6,0,0,0,1.75,6.16,61,1264,63.91,4,2.67,1,1,0,0,0.8876,0
0,5,1,0,133.38,8,1,0,0,38.69,1.78,55,2724,34.41,2,3.02,1,0,0,1,1.4276,0
21,6,1,0,242.14,9,0,0,0,15.19,0.24,51,319,60.46,6,1.66,1,1,0,0,1.1602,0
21,2,1,0,48.81,8,0,0,0,4.65,4.45,19,952,81.92,1,3.63,1,0,0,1,0.9138,0
0,6,0,0,7.52,6,0,0,0,33.95,9.14,72,2551,121.43,4,2.02,1,1,1,1,1.343,0
10,0,0,1,29.01,0,0,0,0,13.55,5.21,49,2750,59.95,0,2.34,1,1,1,1,1.0553,0
10,0,0,0,40.82,3,1,0,0,8.17,4.21,62,284,48.0,5,2.18,1,1,0,0,1.0243,0
12,0,0,0,37.23,8,0,0,0,9.85,16.19,60,1864,33.55,4,2.9,1,1,1,1,2.3666,0
14,4,1,0,175.01,0,0,0,0,23.27,16.04,32,4290,46.54,1,2.93,1,1,1,0,1.4528,0
10,5,0,0,67.15,8,0,0,0,23.43,7.47,53,2005,12.66,2,0.4,1,1,0,0,0.6768,0
10,5,1,1,9.04,1,0,0,0,30.83,2.31,62,1874,51.67,5,1.09,1,0,0,0,1.6838,0
14,5,0,1,63.5,0,0,0,0,27.32,8.05,73,2996,61.36,2,3.88,1,1,0,1,0.7346,0
5,6,1,1,13.27,0,0,0,0,16.31,23.22,63,2736,170.12,7,0.8,1,1,0,1,1.1205,0
15,5,1,0,17.65,3,0,0,0,9.66,7.35,57,4517,109.47,3,1.4,1,0,1,1,1.4597,0
4,0,0,0,8.72,5,0,0,0,16.08,3.3,45,914,121.75,6,1.48,1,1,0,0,1.154,0
21,0,1,0,33.04,2,0,0,0,13.05,13.62,32,469,38.65,0,0.37,1,1,1,1,0.4602,0
13,1,1,0,131.46,6,1,0,0,9.41,9.01,25,969,18.04,2,1.21,1,0,1,1,0.1965,0
17,3,1,0,2.41,4,0,0,0,18.34,0.37,34,4963,87.02,3,1.14,1,1,0,1,0.2329,0
13,3,1,0,10.23,9,0,0,0,4.05,10.61,54,160,33.27,1,1.22,1,1,1,1,0.8703,0
8,3,0,0,9.97,1,0,0,0,3.97,8.32,63,476,96.47,3,2.91,1,0,1,1,0.9278,0
14,3,1,0,12.21,4,1,0,0,8.86,7.06,66,2278,48.82,6,2.45,1,1,0,0,0.988,0
1,5,0,0,91.54,5,1,0,0,20.41,7.73,56,1165,82.64,7,2.1,1,1,1,1,1.3965,0
5,0,1,0,13.26,8,0,0,0,30.69,20.32,19,827,23.3,2,1.64,1,1,1,0,0.9597,0
19,0,1,0,2.61,8,0,0,0,0.36,2.22,38,2540,64.41,6,2.63,1,1,0,1,1.0779,0
23,5,0,1,6.29,7,0,0,0,23.48,3.5,64,4202,76.98,0,2.96,0,1,0,0,0.7811,0
5,4,1,0,40.95,2,0,0,0,1.48,41.03,64,709,50.79,2,3.21,1,0,1,1,0.7982,0
21,5,0,0,21.15,1,0,1,0,27.18,22.07,33,3314,92.47,3,1.92,0,1,0,0,0.8904,0
0,0,0,0,863.61,0,0,1,0,330.35,329.73,64,103,20.4,12,10.03,0,0,0,4,3.05,1
0,4,1,0,6.24,2,1,0,0,46.15,0.27,70,187,91.01,3,2.5,1,1,0,0,2.0876,0
5,6,1,0,5.43,1,0,0,0,34.28,0.22,23,3429,66.19,0,0.19,1,1,0,0,1.216,0
18,1,1,0,70.68,2,0,0,0,15.13,3.49,71,4422,276.81,0,2.58,1,1,0,1,0.3551,0
2,0,1,0,45.78,9,0,0,0,1.1,4.75,58,1409,65.98,5,1.9,1,1,1,1,1.4877,0
0,1,0,1,54.06,6,0,0,0,12.68,12.67,55,2741,11.6,1,1.29,1,1,0,0,1.2429,0
5,3,0,0,5.75,4,0,0,0,29.93,9.66,48,1996,71.71,1,2.13,1,1,1,0,1.1507,0
20,3,0,0,21.68,6,0,0,0,29.91,10.96,30,904,38.93,0,2.97,1,1,0,1,0.7747,0
10,1,0,0,145.79,0,0,0,0,34.28,14.35,39,413,192.08,7,0.16,1,1,1,0,0.8874,0
15,4,1,0,60.17,4,1,0,0,38.72,1.95,66,3596,15.63,3,1.68,1,1,1,0,1.0923,0
6,1,1,0,88.82,8,0,0,0,28.58,1.33,39,1016,74.04,7,2.71,1,0,1,0,0.5746,0
1,5,1,1,16.68,7,0,0,1,4.77,3.13,58,2106,91.5,6,3.1,1,1,1,1,0.935,0
22,2,1,0,425.14,6,0,0,0,21.11,8.9,24,3461,36.56,7,2.85,0,1,0,0,0.7813,0
23,3,1,0,18.31,5,0,0,0,19.16,10.78,31,3768,100.44,7,1.18,1,1,1,1,0.7972,0
3,2,1,0,49.5,2,0,0,0,8.21,4.5,20,3712,52.84,0,1.09,1,1,1,0,0.8048,0
21,6,1,0,4.68,1,0,0,0,12.41,14.28,41,4329,30.4,2,1.71,1,1,0,0,0.9232,0
17,2,0,0,13.69,8,1,0,0,52.94,1.58,47,68,64.34,5,3.15,1,1,1,1,1.2551,0
12,1,1,0,18.29,8,0,0,0,28.33,0.43,34,3355,72.75,4,0.36,1,1,1,1,1.9002,0
5,4,0,0,17.8,7,0,0,0,31.81,1.63,29,4683,66.12,2,2.02,0,1,1,1,0.6314,0
23,4,0,0,11.66,7,0,0,0,54.51,0.93,26,752,10.0,1,3.6,1,0,1,1,0.1933,0
12,3,0,1,115.25,0,0,0,0,0.8,3.03,53,2407,60.1,5,1.57,1,1,1,1,0.594,0
2,3,0,0,177.15,8,1,0,0,23.17,11.79,52,1842,35.18,5,1.47,1,1,1,0,0.9814,0
7,4,1,0,95.65,6,0,0,0,37.6,11.83,72,51,20.19,5,2.38,1,1,1,0,0.7537,0
18,1,1,0,45.98,6,0,0,0,17.58,15.89,19,3192,47.08,4,2.24,1,1,1,1,0.5777,0
6,5,0,0,51.94,5,0,0,0,6.98,16.77,41,1439,29.41,6,1.89,1,1,1,1,1.3822,0
8,2,0,0,28.91,0,0,0,0,9.31,3.88,54,1881,40.31,2,2.21,1,1,0,0,0.9445,0
7,5,1,0,14.3,3,1,0,0,12.36,28.38,33,2730,45.81,7,2.0,1,1,0,1,0.7766,0
17,6,1,1,10.68,3,0,1,0,5.92,9.81,58,798,91.84,1,1.43,1,1,1,1,0.6488,0
6,0,0,0,23.88,5,0,0,0,19.39,3.57,59,2581,28.6,4,2.86,1,0,0,1,1.5447,0
12,1,1,0,31.86,9,0,0,0,19.8,9.88,23,372,10.0,5,2.81,1,1,0,1,0.203,0
19,0,1,0,45.95,5,0,0,0,17.83,13.4,32,366,27.23,3,2.06,1,1,0,1,0.9804,0
10,1,1,0,14.29,9,0,0,0,27.37,17.68,44,1417,20.03,5,4.22,1,1,0,1,0.6909,0
13,5,1,0,16.65,5,0,0,0,45.77,1.82,68,391,58.26,2,0.38,1,1,0,0,0.7491,0
7,0,0,0,15.37,6,0,0,0,57.47,6.82,32,2307,190.35,0,1.48,1,0,1,0,0.7068,0
2,0,1,0,7.18,5,0,0,0,34.29,3.47,59,2781,53.4,4,3.52,0,1,0,1,1.2001,0
11,2,1,0,502.09,2,1,0,0,39.58,6.82,24,2555,29.96,3,1.69,1,1,0,0,1.0531,0
6,3,1,1,47.08,8,1,0,0,47.25,10.12,31,3343,26.83,5,1.18,0,1,0,0,1.2075,0
14,1,0,0,31.84,8,0,0,0,1.73,11.16,39,1303,27.99,1,2.33,1,1,0,0,1.6053,0
10,0,1,0,36.03,0,0,0,0,1.95,6.03,49,3955,108.74,4,1.06,1,1,1,1,1.1307,0
12,6,0,0,128.52,1,1,0,0,46.12,10.35,31,3115,53.54,7,2.29,0,0,0,1,0.6648,0
8,2,1,0,39.2,0,0,0,0,2.82,3.66,64,1218,73.5,4,2.95,1,1,1,0,0.574,0
10,2,0,0,10.28,2,1,0,0,20.3,16.25,53,4713,47.56,3,2.31,0,1,1,0,1.2335,0
3,6,1,0,55.9,8,1,0,0,17.89,14.81,31,2290,30.09,1,3.63,1,1,1,0,1.2301,0
3,6,1,1,33.12,5,0,0,0,11.31,3.35,71,2597,10.86,3,2.53,1,1,1,0,1.6634,0
21,3,0,0,18.92,0,0,1,0,3.35,5.73,44,4032,141.91,2,2.11,1,1,1,1,0.8953,0
23,3,0,0,35.0,9,0,0,0,18.31,6.63,18,1130,119.03,5,0.74,1,1,0,0,1.3858,0
6,0,1,0,9.05,6,0,0,0,12.97,20.78,61,4013,38.27,5,2.05,1,0,1,0,1.4189,0
18,6,0,1,48.37,0,0,0,0,44.57,6.06,72,1863,67.26,3,0.56,0,1,1,0,1.3174,0
20,1,1,0,10.12,6,0,0,0,41.64,14.61,69,2903,27.95,3,1.19,1,1,0,0,1.1654,0
0,0,1,0,5.82,2,0,1,0,46.95,13.35,69,3267,17.43,6,2.82,1,1,1,0,1.1676,0
8,0,1,0,66.94,1,1,0,0,56.04,1.06,51,2543,100.26,6,0.95,1,1,1,1,1.1258,0
3,0,0,0,24.37,2,0,0,0,44.76,1.33,26,2546,168.86,4,1.02,1,1,1,1,0.2784,0
20,4,0,0,11.91,2,0,0,0,1.06,0.26,26,3113,29.99,1,3.45,0,0,0,1,1.0061,0
14,2,1,0,51.98,0,1,0,0,11.64,3.46,63,2111,34.9,2,0.73,1,0,1,0,1.3351,0
5,0,1,0,84.5,7,0,0,0,26.66,4.23,19,4875,297.67,6,2.51,1,0,1,1,1.4985,0
14,2,1,0,7.53,7,1,0,0,48.01,15.77,18,4097,49.0,4,3.01,1,1,1,0,1.6192,0
3,3,1,0,73.61,2,0,0,0,10.14,4.58,72,929,595.7,2,1.6,1,0,1,1,0.8106,0
8,2,1,0,21.75,0,0,0,0,1.29,7.3,26,1989,27.84,1,1.72,1,1,0,1,1.2632,0
18,5,1,0,10.6,2,0,0,0,45.01,18.09,31,4825,183.03,2,1.61,1,1,0,0,0.9975,0
12,5,0,0,99.14,4,1,0,0,157.85,115.75,21,167,57.57,13,6.41,1,1,0,3,6.9279,1
4,1,1,0,37.44,1,0,0,0,35.68,5.13,28,424,90.38,6,3.3,1,1,0,0,1.1957,0
4,2,1,1,212.91,3,0,0,0,21.67,0.31,52,155,35.83,2,1.4,1,0,1,0,0.843,0
20,2,1,1,100.71,3,0,0,0,35.24,9.02,52,4465,12.98,1,2.61,1,1,0,1,1.7251,0
8,4,0,0,101.7,0,0,1,0,2.58,4.32,26,2841,86.44,4,2.35,1,1,1,0,0.5502,0
13,3,1,0,13.8,0,0,0,1,18.25,12.02,48,2953,34.29,2,1.53,1,0,0,1,0.9957,0
11,0,0,0,134.05,9,0,0,0,0.21,0.95,56,4367,59.51,2,1.79,1,1,1,1,0.872,0
3,2,1,0,53.7,9,1,0,0,63.95,3.63,24,500,18.64,4,0.88,1,1,1,0,0.5388,0
17,6,0,0,166.38,9,0,0,0,33.26,7.75,19,2674,47.06,4,1.72,1,1,1,1,1.4999,0
4,6,1,0,4.52,8,0,0,0,17.0,11.75,31,3023,21.98,7,1.82,1,0,0,0,1.5792,0
12,5,0,0,86.42,5,0,0,0,40.59,15.27,41,634,83.01,3,3.43,1,1,0,1,1.2301,0
3,4,1,1,3.46,8,0,0,0,1.74,2.41,69,3306,151.61,5,1.39,1,1,0,1,0.8053,0
22,6,1,1,73.56,1,0,0,0,0.52,1.05,25,2094,67.94,5,0.93,1,0,1,0,1.2598,0
11,2,0,1,430.54,9,1,0,0,6.27,15.79,47,906,19.7,1,2.36,1,1,1,1,0.6122,0
16,1,1,0,21.0,7,1,0,0,14.19,39.29,49,1710,34.5,6,3.22,1,1,1,0,1.2813,0
12,4,0,1,23.14,7,0,0,0,3.76,6.69,67,4333,77.74,4,0.23,1,1,0,0,0.3002,0
17,2,1,0,51.16,5,1,0,0,23.63,10.02,21,2841,26.13,1,2.73,1,0,0,0,0.8399,0
15,4,1,1,14.18,5,0,0,0,5.41,7.48,47,2791,100.06,1,0.89,1,1,1,0,1.2516,0
1,5,1,0,100.29,6,0,0,0,19.71,16.01,54,45,125.54,0,1.12,1,1,1,0,1.0162,0
2,0,1,0,107.93,9,0,0,0,49.16,8.27,22,4737,28.42,6,1.69,1,1,1,1,0.6787,0
3,3,1,1,47.96,1,0,0,0,29.28,13.22,24,62,49.56,0,0.56,1,0,1,0,1.0679,0
4,6,1,0,15.09,8,0,0,0,8.44,22.0,39,2746,19.07,5,0.21,1,0,0,1,1.2894,0
2,2,0,1,7.44,2,0,0,0,41.75,26.75,54,1470,57.99,7,1.25,1,0,1,1,1.557,0
8,1,1,0,395.13,2,1,0,0,27.5,7.33,56,3060,117.42,2,1.62,1,1,1,0,0.3008,0
17,1,1,0,11.69,0,1,0,0,1.22,6.1,47,2710,64.27,4,1.95,1,1,1,0,1.2867,0
16,3,1,0,5.62,9,0,1,0,1.48,2.69,29,3813,54.93,6,2.13,1,0,1,1,0.4121,0
2,2,1,0,68.01,8,0,0,0,5.46,11.4,59,4230,19.75,3,2.21,1,1,1,0,0.6661,0
10,3,1,0,19.43,9,1,0,0,24.3,5.54,26,3123,49.66,1,3.4,1,1,1,1,0.9172,0
4,2,0,0,149.56,5,0,0,0,14.86,1.07,28,2625,30.88,1,2.07,1,1,0,1,1.3017,0
9,5,1,0,8.51,9,0,0,0,2.07,7.77,40,4914,10.93,4,3.38,1,0,0,1,1.0791,0
14,4,0,1,162.81,2,0,0,0,3.09,4.81,52,4247,11.44,2,0.93,1,1,0,0,1.7669,0
17,5,1,0,91.91,8,0,0,1,35.29,5.46,69,4354,256.96,4,2.27,1,1,1,1,1.0447,0
12,1,1,1,13.9,3,1,0,0,6.84,14.91,64,1285,77.41,4,0.31,0,1,1,0,1.315,0
0,0,0,0,17.71,3,0,0,0,20.74,1.3,20,2913,65.46,0,3.55,1,1,1,1,0.8592,0
16,4,1,0,28.5,1,0,0,0,48.34,11.25,72,2883,41.43,0,2.9,1,1,0,1,1.0193,0
7,0,0,0,20.88,8,0,0,0,2.02,1.62,69,2212,10.0,7,2.85,1,1,0,1,1.0766,0
10,1,1,0,95.69,9,0,0,0,32.01,18.31,18,4793,139.8,4,1.15,1,1,1,1,1.1802,0
9,4,0,0,37.26,6,0,0,0,5.43,4.84,31,3730,46.54,2,1.85,1,1,0,0,0.3706,0
3,6,1,1,90.61,1,0,0,0,14.08,22.87,20,3862,170.93,5,0.51,1,1,0,1,0.4977,0
17,2,1,0,73.58,4,0,0,0,19.62,12.05,30,2113,99.26,4,2.11,0,1,1,1,1.1932,0
18,0,1,0,9.84,3,1,0,1,26.57,7.32,73,1395,26.65,7,2.02,1,1,1,0,0.705,0
8,0,0,0,12.21,4,1,0,0,53.82,3.91,47,1440,69.81,6,2.15,1,1,1,0,1.041,0
18,2,1,0,194.27,8,0,0,0,29.1,15.92,71,751,59.67,0,0.07,1,0,1,1,0.3075,0
5,0,0,0,87.45,9,0,0,0,3.18,6.88,44,2438,23.04,1,1.89,1,0,1,0,1.1424,0
2,4,1,0,200.59,2,0,0,0,36.94,13.36,36,1150,52.36,2,0.72,0,0,0,1,0.8968,0
0,4,0,0,251.41,6,0,0,0,12.67,4.21,45,3435,92.68,1,1.23,0,0,0,0,1.1178,0
1,2,1,1,26.73,4,0,0,0,31.85,0.76,33,3448,15.18,2,2.35,1,1,0,0,1.6524,0
20,4,1,0,125.5,7,0,0,0,2.42,2.29,57,230,46.93,1,1.15,0,0,1,1,1.4867,0
17,4,1,1,45.08,3,0,0,0,3.24,4.66,69,1217,15.53,3,1.36,1,1,0,0,0.9985,0
4,2,1,0,124.53,7,0,0,0,9.14,5.59,37,2982,101.91,7,1.48,1,1,1,1,0.7019,0
10,3,1,0,13.11,0,1,0,0,32.05,10.03,43,1497,42.33,1,2.92,1,1,0,0,0.864,0
15,1,1,1,51.57,1,0,0,0,26.01,3.88,54,2629,99.56,6,1.84,0,0,1,1,0.8932,0
0,4,0,0,43.31,8,0,0,0,1.39,9.2,57,4665,135.1,0,1.25,1,1,1,1,0.6987,0
11,4,0,0,29.19,7,0,0,0,16.17,10.97,25,49,14.0,0,2.46,1,0,0,0,1.2911,0
12,3,0,0,33.82,9,0,0,0,9.47,20.55,37,3326,76.82,7,4.58,1,1,1,0,0.855,0
14,0,0,1,10.97,3,0,0,0,12.33,3.62,44,2219,48.53,4,1.29,1,1,0,1,0.1025,0
8,4,1,0,74.11,5,1,0,0,13.36,7.24,69,1908,82.74,2,3.06,1,1,1,1,0.7865,0
13,3,1,0,57.58,1,0,0,0,22.03,1.09,25,947,22.58,3,2.89,1,1,0,1,0.5465,0
22,5,1,1,5.95,1,0,0,0,3.43,10.52,20,2160,101.11,4,2.01,1,1,1,1,0.8713,0
10,4,0,0,35.43,4,1,0,0,62.25,5.08,22,612,32.15,7,1.4,1,1,0,1,1.4343,0
16,5,0,0,179.82,8,1,0,0,15.89,1.3,44,1325,10.0,4,3.9,1,1,1,0,1.2409,0
0,0,0,1,18.68,4,0,1,0,13.39,16.02,41,3992,142.89,1,2.18,1,0,1,0,1.3455,0
16,3,0,0,157.46,3,0,0,0,5.28,7.73,20,4557,32.91,5,2.52,1,1,1,0,0.7232,0
2,6,1,1,82.06,6,0,0,0,69.38,13.82,40,1029,38.68,4,2.91,1,0,1,1,1.474,0
20,4,0,0,19.73,4,0,0,0,25.21,20.19,39,2216,133.24,4,3.15,1,0,1,0,1.2789,0
0,3,0,0,10.02,3,1,0,0,22.83,15.59,44,971,29.22,3,2.44,1,0,0,1,1.344,0
12,5,1,0,188.85,7,1,0,0,11.9,1.8,20,3211,45.65,4,2.61,0,0,1,1,1.1876,0
21,5,0,1,1.93,0,1,0,0,10.18,2.88,27,2998,65.5,6,4.49,1,1,0,1,0.6159,0
0,2,1,0,187.65,2,1,0,0,20.12,8.95,62,1511,37.27,7,1.62,1,1,1,1,0.8686,0
5,1,0,0,49.18,3,0,0,0,53.94,15.13,52,2396,62.8,3,2.14,0,1,1,1,1.2761,0
18,1,1,1,323.33,7,0,0,0,35.87,7.79,38,4349,25.29,7,0.96,1,0,1,1,1.2839,0
19,5,1,0,3.79,8,0,0,0,16.7,21.38,18,932,31.45,6,3.43,0,0,1,1,0.6402,0
19,0,0,0,47.54,3,0,0,0,6.17,8.56,32,4895,50.75,4,1.31,1,1,1,0,1.1927,0
16,3,1,0,131.82,2,0,0,0,0.9,1.43,46,3547,66.75,7,0.98,1,1,0,0,1.0819,0
2,3,1,1,118.26,2,0,0,0,11.21,4.12,63,4697,64.21,1,2.2,1,1,0,1,0.4354,0
22,6,1,0,48.67,3,0,0,0,12.37,8.07,23,1546,48.64,5,1.05,1,1,1,1,1.0358,0
10,6,1,0,12.66,4,1,0,0,0.33,4.14,30,4941,40.92,5,0.38,1,1,1,1,0.8478,0
23,2,0,0,186.92,4,1,0,0,76.54,219.25,70,51,24.36,12,6.08,1,1,1,0,4.2413,1
0,6,0,0,18.29,9,0,0,0,13.02,8.91,28,4980,64.21,3,0.8,1,0,1,1,0.1519,0
14,5,1,0,30.36,6,0,0,0,18.72,16.2,59,2918,39.05,3,2.24,1,0,1,1,1.1078,0
18,6,1,0,92.95,2,0,1,0,8.29,19.99,48,1792,142.21,4,2.54,1,1,0,1,0.6424,0
19,2,0,0,66.64,7,0,0,1,5.61,9.0,42,3055,36.28,5,3.24,1,1,1,1,1.2474,0
2,6,1,0,1.71,8,0,0,0,23.8,6.28,73,176,48.4,6,1.8,1,1,1,0,1.1167,0
0,5,0,0,16.09,4,1,0,0,6.62,6.06,51,2685,51.04,5,1.57,0,1,1,0,0.6431,0
23,4,1,1,5.56,0,0,1,0,25.85,1.5,33,2917,42.06,7,1.89,1,1,1,1,0.3981,0
23,4,0,0,137.01,7,0,0,0,12.68,5.06,66,3995,55.79,4,1.07,1,1,0,1,1.289,0
10,5,0,0,4.46,7,0,0,0,2.34,3.68,21,1053,287.03,0,2.13,1,1,1,1,1.2286,0
12,1,1,1,4.91,6,0,0,0,10.04,6.71,34,202,63.08,6,0.78,1,1,0,1,1.3562,0
13,6,1,0,98.05,4,0,0,0,1.0,9.95,55,4118,15.27,1,1.81,1,0,1,0,1.222,0
3,4,0,1,49.71,8,0,0,0,27.11,7.88,40,2108,57.37,5,0.66,1,1,0,1,1.4561,0
18,3,1,0,21.0,9,1,0,0,1.41,4.4,55,3300,51.02,4,2.19,1,1,1,0,1.0312,0
8,4,1,1,22.53,7,0,0,0,36.6,5.31,31,4694,254.9,7,3.43,1,1,1,0,0.6042,0
5,5,1,0,78.67,7,1,0,0,25.74,2.53,32,1699,36.93,6,3.02,1,0,1,0,1.1234,0
11,1,0,0,25.31,8,0,0,0,22.03,10.59,24,2515,52.57,2,2.24,1,0,0,0,1.1773,0
17,4,1,0,13.0,5,0,0,0,29.32,4.76,33,2498,78.89,7,3.19,0,1,1,1,1.5285,0
7,2,1,0,5.73,0,0,0,0,12.59,17.2,69,2688,34.48,7,2.69,1,1,0,0,0.4642,0
23,6,1,0,131.74,5,0,0,0,27.97,29.62,41,2544,79.1,1,2.06,1,1,1,0,0.286,0
18,0,1,0,3.51,1,0,0,0,36.46,14.05,46,3916,32.8,7,2.13,0,0,0,0,1.3189,0
14,2,1,0,32.0,4,0,0,0,16.59,1.03,46,760,268.69,7,2.41,1,0,0,1,0.8543,0
13,5,0,0,94.34,2,0,0,0,18.1,0.27,43,68,15.67,4,2.34,1,1,1,1,1.0459,0
23,2,1,1,77.42,1,0,0,0,2.8,7.13,46,4153,61.92,7,2.68,0,0,0,0,1.4655,0
6,2,0,0,24.18,5,0,0,0,0.43,3.51,28,2055,83.71,4,1.71,1,1,0,1,1.8289,0
3,0,0,0,81.33,1,0,0,0,5.21,4.37,44,4285,49.95,0,0.25,0,1,0,0,1.0308,0
21,1,0,0,13.94,0,0,0,0,23.37,9.73,18,4048,47.63,4,3.33,1,1,1,1,0.7255,0
16,0,0,1,358.56,9,1,0,0,11.31,23.17,64,1680,46.87,0,3.91,1,1,0,1,1.2978,0
23,2,0,0,26.24,8,1,0,0,31.59,7.95,65,4854,14.87,1,1.15,1,1,1,1,1.1687,0
3,1,0,1,87.74,1,1,0,0,23.16,1.27,63,72,52.43,2,2.46,1,1,1,0,0.8103,0
19,2,0,0,3.51,4,1,0,0,22.48,4.38,73,46,28.61,6,1.99,1,0,1,0,1.1933,0
1,1,0,0,5.56,7,0,0,0,25.13,8.96,43,854,132.4,5,2.78,1,0,0,0,0.906,0
